date,ipca_index,ipca_pct
2014-12-31,1.2698380670318246,0.78
2015-01-02,1.2705834841366392,1.24
2015-01-05,1.2713293388143028,1.24
2015-01-06,1.2720756313216774,1.24
2015-01-07,1.2728223619157775,1.24
2015-01-08,1.273569530853767,1.24
2015-01-09,1.2743171383929617,1.24
2015-01-12,1.275065184790828,1.24
2015-01-13,1.2758136703049838,1.24
2015-01-14,1.276562595193198,1.24
2015-01-15,1.2773119597133906,1.24
2015-01-16,1.2780617641236336,1.24
2015-01-19,1.2788120086821502,1.24
2015-01-20,1.2795626936473143,1.24
2015-01-21,1.2803138192776533,1.24
2015-01-22,1.281065385831845,1.24
2015-01-23,1.2818173935687192,1.24
2015-01-26,1.2825698427472578,1.24
2015-01-27,1.2833227336265949,1.24
2015-01-28,1.2840760664660167,1.24
2015-01-29,1.2848298415249615,1.24
2015-01-30,1.2855840590630196,1.24
2015-02-02,1.286363756580213,1.22
2015-02-03,1.2871439269783618,1.22
2015-02-04,1.2879245705442652,1.22
2015-02-05,1.288705687564896,1.22
2015-02-06,1.289487278327401,1.22
2015-02-09,1.2902693431191012,1.22
2015-02-10,1.2910518822274921,1.22
2015-02-11,1.2918348959402433,1.22
2015-02-12,1.2926183845451988,1.22
2015-02-13,1.2934023483303774,1.22
2015-02-16,1.2941867875839728,1.22
2015-02-17,1.2949717025943523,1.22
2015-02-18,1.29575709365006,1.22
2015-02-19,1.2965429610398136,1.22
2015-02-20,1.297329305052506,1.22
2015-02-23,1.298116125977206,1.22
2015-02-24,1.2989034241031574,1.22
2015-02-25,1.299691199719779,1.22
2015-02-26,1.3004794531166655,1.22
2015-02-27,1.3012681845835872,1.22
2015-03-02,1.3020440685940444,1.32
2015-03-03,1.3028204152270455,1.32
2015-03-04,1.30359722475843,1.32
2015-03-05,1.3043744974642022,1.32
2015-03-06,1.3051522336205306,1.32
2015-03-09,1.3059304335037492,1.32
2015-03-10,1.3067090973903555,1.32
2015-03-11,1.3074882255570128,1.32
2015-03-12,1.3082678182805492,1.32
2015-03-13,1.3090478758379576,1.32
2015-03-16,1.3098283985063963,1.32
2015-03-17,1.310609386563189,1.32
2015-03-18,1.3113908402858239,1.32
2015-03-19,1.3121727599519561,1.32
2015-03-20,1.3129551458394049,1.32
2015-03-23,1.313737998226156,1.32
2015-03-24,1.3145213173903603,1.32
2015-03-25,1.3153051036103351,1.32
2015-03-26,1.3160893571645638,1.32
2015-03-27,1.3168740783316948,1.32
2015-03-30,1.3176592673905436,1.32
2015-03-31,1.3184449246200918,1.32
2015-04-01,1.3188891844050676,0.71
2015-04-02,1.319333593886669,0.71
2015-04-03,1.319778153115338,0.71
2015-04-06,1.3202228621415326,0.71
2015-04-07,1.320667721015728,0.71
2015-04-08,1.3211127297884167,0.71
2015-04-09,1.3215578885101082,0.71
2015-04-10,1.3220031972313289,0.71
2015-04-13,1.3224486560026225,0.71
2015-04-14,1.322894264874549,0.71
2015-04-15,1.3233400238976862,0.71
2015-04-16,1.3237859331226287,0.71
2015-04-17,1.324231992599988,0.71
2015-04-20,1.3246782023803927,0.71
2015-04-22,1.3251245625144887,0.71
2015-04-23,1.3255710730529389,0.71
2015-04-24,1.3260177340464228,0.71
2015-04-27,1.3264645455456374,0.71
2015-04-28,1.326911507601297,0.71
2015-04-29,1.3273586202641328,0.71
2015-04-30,1.3278058835848925,0.71
2015-05-04,1.3282954531450917,0.74
2015-05-05,1.3287852032123644,0.74
2015-05-06,1.3292751338532647,0.74
2015-05-07,1.3297652451343709,0.74
2015-05-08,1.3302555371222864,0.74
2015-05-11,1.3307460098836383,0.74
2015-05-12,1.3312366634850794,0.74
2015-05-13,1.3317274979932863,0.74
2015-05-14,1.3322185134749602,0.74
2015-05-15,1.332709709996827,0.74
2015-05-18,1.3332010876256373,0.74
2015-05-19,1.3336926464281664,0.74
2015-05-20,1.334184386471214,0.74
2015-05-21,1.3346763078216044,0.74
2015-05-22,1.3351684105461867,0.74
2015-05-25,1.3356606947118346,0.74
2015-05-26,1.3361531603854464,0.74
2015-05-27,1.3366458076339454,0.74
2015-05-28,1.3371386365242788,0.74
2015-05-29,1.3376316471234193,0.74
